negr|||survival|||none|||1108358|||04-12-2024 17:45:27|||
04-12-2024 18:04:43
0:0|1:261|2:393|3:406|4:0|5:406|6:4|
2|11|13|12|5|332|29|18|
7#36|l|0|
8#35|l|0|
8#36|w|0|
8#37|l|0|
9#36|l|0|
10#35|l|0|
10#41|l|0|
11#34|l|0|
11#35|w|0|
11#36|l|0|
11#40|l|0|
11#41|w|0|
11#42|l|0|
12#35|l|0|
12#41|l|0|
13#7|s|0|
14#6|s|0|
14#7|s|0|
14#8|i|0|
15#6|s|0|
15#7|i|0|
15#18|s|0|
15#19|s|0|
16#18|s|0|
16#19|s|0|
16#20|s|0|
16#28|s|0|
17#19|i|0|
17#20|s|0|
17#27|i|0|
17#28|s|0|
17#29|s|0|
18#27|s|0|
18#28|i|0|
18#29|s|0|
18#30|s|0|
18#46|l|0|
19#9|s|0|
19#29|s|0|
19#30|i|0|
19#31|s|0|
19#45|l|0|
19#46|w|0|
19#47|l|0|
20#8|i|0|
20#9|s|0|
20#10|s|0|
20#30|s|0|
20#31|s|0|
20#46|l|0|
21#8|i|0|
21#9|s|0|
27#23|Landfill|0|
28#22|Landfill|0|
28#23|Landfill|0|
29#21|Landfill|0|
29#22|Landfill|0|
30#21|Landfill|0|
30#22|Landfill|0|
31#6|l|0|
32#5|l|0|
32#6|w|0|
32#7|l|0|
33#6|l|0|
33#17|Cheap Wall|0|
33#18|Cheap Wall|0|
33#19|Cheap Wall|0|
33#20|Cheap Wall|0|
33#21|Cheap Wall|0|
33#25|Cheap Wall|0|
33#26|Cheap Wall|0|
33#29|Cheap Wall|0|
34#19|Cheap Wall|0|
34#24|Cheap Wall|0|
34#27|Cheap Wall|0|
34#30|Cheap Wall|0|
34#46|l|0|
35#2|l|0|
35#17|Cheap Wall|0|
35#18|Cheap Wall|0|
35#20|Cheap Wall|0|
35#21|Cheap Wall|0|
35#25|Cheap Wall|0|
35#28|Cheap Wall|0|
35#29|Cheap Wall|0|
35#45|l|0|
35#46|w|0|
35#47|l|0|
36#1|l|0|
36#2|w|0|
36#3|l|0|
36#46|l|0|
37#2|l|0|
37#18|Cheap Wall|0|
37#19|Cheap Wall|0|
37#20|Cheap Wall|0|
37#21|Cheap Wall|0|
37#25|Cheap Wall|0|
